Student Id,Emotion label,Emotion Probability,Corresponding Weights,Focus Probability,Calculated MES,Engagement Detected (PREDICTED),Ground Truth (ACTUAL) 
72,neutral,0.61,4.12,0.64,3.1399,engaged,engaged
73,fear,0.75,3.05,0.46,2.7504,not engaged,not engaged
74,neutral,0.59,4.12,0.56,2.9940,not engaged,not engaged
75,fear,0.65,3.05,0.72,2.6971,not engaged,not engaged
76,neutral,0.67,4.12,0.62,3.3970,engaged,engaged
77,angry,0.60,2.53,0.50,2.0092,not engaged,not engaged
78,disgust,0.75,2.72,0.58,2.6263,not engaged,not engaged
79,sad,0.77,0.8,0.64,1.2601,not engaged,not engaged
80,angry,0.71,2.53,0.54,2.3308,not engaged,not engaged
81,disgust,0.71,2.72,0.57,2.4845,not engaged,not engaged
82,surprise,0.76,3.48,0.52,3.1717,engaged,engaged
83,sad,0.63,0.8,0.64,1.1423,not engaged,not engaged
84,neutral,0.78,4.12,0.56,3.7853,engaged,engaged
85,neutral,0.68,4.12,0.66,3.4438,engaged,engaged
86,neutral,0.71,4.12,0.65,3.5728,engaged,not engaged
87,happy,0.62,4.3,0.69,3.3636,engaged,engaged
88,sad,0.60,0.8,0.47,0.9553,not engaged,not engaged
89,surprise,0.69,3.48,0.49,2.8877,not engaged,not engaged
90,neutral,0.65,4.12,0.74,3.4380,engaged,engaged
91,angry,0.79,2.53,0.53,2.5161,not engaged,not engaged
92,neutral,0.78,4.12,0.48,3.7086,engaged,engaged
93,fear,0.61,3.05,0.71,2.5728,not engaged,not engaged
94,angry,0.74,2.53,0.64,2.5056,not engaged,not engaged
95,happy,0.77,4.3,0.48,3.7979,engaged,engaged
96,sad,0.78,0.8,0.61,1.2343,not engaged,not engaged
97,fear,0.79,3.05,0.73,3.1546,engaged,engaged
98,fear,0.79,3.05,0.45,2.8696,not engaged,not engaged
99,angry,0.75,2.53,0.65,2.5520,not engaged,not engaged
100,happy,0.79,4.3,0.70,4.1092,engaged,engaged
101,neutral,0.72,4.12,0.70,3.6584,engaged,engaged
102,angry,0.72,2.53,0.64,2.4663,not engaged,not engaged
103,fear,0.73,3.05,0.75,2.9718,not engaged,not engaged
104,happy,0.65,4.3,0.61,3.4196,engaged,engaged
105,angry,0.63,2.53,0.46,2.0508,not engaged,not engaged
106,disgust,0.77,2.72,0.62,2.6978,not engaged,not engaged
107,happy,0.77,4.3,0.47,3.7806,engaged,engaged
108,disgust,0.70,2.72,0.52,2.4193,not engaged,not engaged
109,surprise,0.79,3.48,0.61,3.3496,engaged,engaged
110,happy,0.72,4.3,0.60,3.6996,engaged,engaged
111,sad,0.78,0.8,0.72,1.3392,not engaged,not engaged
112,neutral,0.62,4.12,0.49,3.0322,engaged,engaged
113,sad,0.71,0.8,0.74,1.3098,not engaged,not engaged
114,sad,0.66,0.8,0.47,0.9966,not engaged,not engaged
115,sad,0.68,0.8,0.50,1.0393,not engaged,not engaged
116,surprise,0.60,3.48,0.71,2.7795,not engaged,not engaged
117,happy,0.64,4.3,0.55,3.2823,engaged,engaged
118,angry,0.62,2.53,0.59,2.1519,not engaged,not engaged
119,sad,0.62,0.8,0.45,0.9461,not engaged,not engaged
120,disgust,0.77,2.72,0.67,2.7673,not engaged,not engaged
121,sad,0.79,0.8,0.51,1.1446,not engaged,not engaged
122,fear,0.68,3.05,0.60,2.6741,not engaged,not engaged
123,sad,0.79,0.8,0.66,1.2889,not engaged,not engaged
124,happy,0.60,4.3,0.58,3.1636,engaged,engaged
125,angry,0.78,2.53,0.70,2.6863,not engaged,not engaged
126,neutral,0.65,4.12,0.65,3.3218,engaged,engaged
127,fear,0.72,3.05,0.59,2.7806,not engaged,not engaged
128,surprise,0.60,3.48,0.67,2.7499,not engaged,not engaged
129,angry,0.62,2.53,0.52,2.1030,not engaged,not engaged
130,fear,0.67,3.05,0.48,2.5335,not engaged,not engaged
131,surprise,0.72,3.48,0.64,3.1321,engaged,engaged
132,happy,0.78,4.3,0.46,3.8056,engaged,engaged
133,neutral,0.62,4.12,0.75,3.3046,engaged,engaged
134,neutral,0.64,4.12,0.69,3.3290,engaged,engaged
135,disgust,0.64,2.72,0.50,2.2409,not engaged,not engaged
136,angry,0.71,2.53,0.70,2.4811,not engaged,not engaged
137,sad,0.61,0.8,0.65,1.1386,not engaged,not engaged
138,happy,0.65,4.3,0.52,3.3310,engaged,engaged
139,angry,0.76,2.53,0.51,2.4251,not engaged,not engaged
140,happy,0.74,4.3,0.52,3.6879,engaged,engaged
141,disgust,0.68,2.72,0.58,2.4291,not engaged,not engaged
142,neutral,0.68,4.12,0.62,3.4412,engaged,engaged
143,disgust,0.68,2.72,0.51,2.3581,not engaged,not engaged
144,disgust,0.72,2.72,0.69,2.6371,not engaged,not engaged
145,happy,0.76,4.3,0.71,3.9610,engaged,engaged
146,angry,0.62,2.53,0.61,2.1888,not engaged,not engaged
147,fear,0.65,3.05,0.70,2.6754,not engaged,not engaged
148,disgust,0.72,2.72,0.70,2.6715,not engaged,not engaged
149,angry,0.66,2.53,0.68,2.3633,not engaged,not engaged
150,fear,0.60,3.05,0.51,2.3349,not engaged,not engaged
151,sad,0.62,0.8,0.65,1.1469,not engaged,not engaged
152,fear,0.63,3.05,0.58,2.5182,not engaged,not engaged
153,disgust,0.68,2.72,0.61,2.4742,not engaged,engaged
154,angry,0.77,2.53,0.59,2.5504,not engaged,engaged
155,surprise,0.62,3.48,0.49,2.6304,not engaged,not engaged
156,happy,0.73,4.3,0.51,3.6375,engaged,engaged
157,fear,0.71,3.05,0.51,2.6884,not engaged,not engaged
158,neutral,0.71,4.12,0.66,3.5775,engaged,engaged
159,fear,0.67,3.05,0.56,2.5978,not engaged,not engaged
160,surprise,0.76,3.48,0.56,3.2021,engaged,engaged
161,happy,0.64,4.3,0.69,3.4650,engaged,engaged
162,disgust,0.64,2.72,0.60,2.3376,not engaged,not engaged
163,surprise,0.80,3.48,0.57,3.3484,engaged,engaged
164,sad,0.62,0.8,0.54,1.0395,not engaged,not engaged
165,surprise,0.78,3.48,0.50,3.2037,engaged,engaged
166,surprise,0.78,3.48,0.70,3.4286,engaged,engaged
167,disgust,0.62,2.72,0.66,2.3492,not engaged,not engaged
168,sad,0.62,0.8,0.52,1.0193,not engaged,not engaged
169,fear,0.61,3.05,0.66,2.5313,not engaged,not engaged
170,angry,0.80,2.53,0.49,2.5009,not engaged,not engaged
171,happy,0.65,4.3,0.70,3.4902,engaged,engaged
172,surprise,0.63,3.48,0.53,2.7139,not engaged,not engaged
173,angry,0.62,2.53,0.67,2.2494,not engaged,not engaged
174,neutral,0.72,4.12,0.58,3.5548,engaged,engaged
175,angry,0.73,2.53,0.47,2.3249,not engaged,not engaged
176,fear,0.74,3.05,0.53,2.7833,not engaged,not engaged
177,surprise,0.70,3.48,0.62,3.0603,engaged,engaged
178,disgust,0.76,2.72,0.60,2.6524,not engaged,not engaged
179,sad,0.75,0.8,0.68,1.2883,not engaged,not engaged
180,fear,0.63,3.05,0.60,2.5326,not engaged,not engaged
181,fear,0.67,3.05,0.61,2.6555,not engaged,not engaged
182,sad,0.64,0.8,0.51,1.0189,not engaged,not engaged
183,fear,0.69,3.05,0.62,2.7303,not engaged,not engaged
184,sad,0.80,0.8,0.47,1.1130,not engaged,not engaged
185,neutral,0.76,4.12,0.65,3.7724,engaged,engaged
186,happy,0.75,4.3,0.64,3.8643,engaged,engaged
187,angry,0.75,2.53,0.67,2.5692,not engaged,not engaged
188,surprise,0.64,3.48,0.60,2.8470,not engaged,not engaged
189,happy,0.60,4.3,0.55,3.1197,engaged,engaged
190,surprise,0.63,3.48,0.74,2.9316,not engaged,not engaged
191,happy,0.77,4.3,0.45,3.7472,engaged,engaged
192,fear,0.73,3.05,0.45,2.6894,not engaged,not engaged
193,sad,0.76,0.8,0.62,1.2305,not engaged,not engaged
194,fear,0.64,3.05,0.67,2.6139,not engaged,not engaged
195,disgust,0.75,2.72,0.53,2.5834,not engaged,not engaged
196,fear,0.76,3.05,0.51,2.8462,not engaged,not engaged
197,fear,0.78,3.05,0.55,2.9311,not engaged,engaged
198,disgust,0.70,2.72,0.55,2.4558,not engaged,not engaged
199,angry,0.73,2.53,0.48,2.3138,not engaged,not engaged
200,sad,0.60,0.8,0.56,1.0377,not engaged,not engaged
201,disgust,0.63,2.72,0.63,2.3313,not engaged,not engaged
202,disgust,0.79,2.72,0.62,2.7562,not engaged,not engaged
203,surprise,0.73,3.48,0.69,3.2245,engaged,engaged
204,surprise,0.76,3.48,0.62,3.2437,engaged,engaged
205,surprise,0.66,3.48,0.55,2.8600,not engaged,not engaged
206,happy,0.63,4.3,0.49,3.2040,engaged,engaged
207,surprise,0.67,3.48,0.71,3.0552,engaged,engaged
208,disgust,0.66,2.72,0.63,2.4326,not engaged,not engaged
209,fear,0.72,3.05,0.61,2.8191,not engaged,not engaged
210,neutral,0.70,4.12,0.68,3.5827,engaged,engaged
211,angry,0.64,2.53,0.60,2.2144,not engaged,not engaged
212,sad,0.79,0.8,0.64,1.2651,not engaged,not engaged
213,angry,0.60,2.53,0.72,2.2517,not engaged,not engaged
214,neutral,0.75,4.12,0.60,3.6745,engaged,engaged
215,fear,0.68,3.05,0.63,2.6968,not engaged,not engaged
216,angry,0.80,2.53,0.60,2.6185,not engaged,not engaged
217,neutral,0.76,4.12,0.50,3.6134,engaged,engaged
218,surprise,0.64,3.48,0.55,2.7793,not engaged,not engaged
219,disgust,0.74,2.72,0.59,2.5966,not engaged,engaged
220,disgust,0.80,2.72,0.46,2.6252,not engaged,not engaged
221,happy,0.67,4.3,0.55,3.4136,engaged,engaged
222,happy,0.67,4.3,0.65,3.5063,engaged,engaged
223,neutral,0.68,4.12,0.53,3.3155,engaged,engaged
224,neutral,0.70,4.12,0.68,3.5503,engaged,engaged
225,surprise,0.61,3.48,0.64,2.7478,not engaged,not engaged
226,angry,0.79,2.53,0.48,2.4755,not engaged,not engaged
227,angry,0.60,2.53,0.67,2.1985,not engaged,not engaged
228,happy,0.65,4.3,0.74,3.5445,engaged,engaged
229,fear,0.71,3.05,0.49,2.6425,not engaged,not engaged
230,neutral,0.66,4.12,0.64,3.3611,engaged,engaged
231,neutral,0.63,4.12,0.59,3.2009,engaged,engaged
232,happy,0.79,4.3,0.68,4.0643,engaged,engaged
233,fear,0.62,3.05,0.64,2.5462,not engaged,not engaged
234,angry,0.63,2.53,0.67,2.2733,not engaged,not engaged
235,surprise,0.73,3.48,0.72,3.2473,engaged,engaged
236,angry,0.77,2.53,0.60,2.5473,not engaged,not engaged
237,surprise,0.70,3.48,0.72,3.1588,engaged,engaged
238,neutral,0.67,4.12,0.58,3.3492,engaged,engaged
239,angry,0.69,2.53,0.51,2.2499,not engaged,not engaged
240,sad,0.67,0.8,0.54,1.0731,not engaged,not engaged
241,surprise,0.75,3.48,0.53,3.1517,engaged,engaged
242,fear,0.69,3.05,0.59,2.6992,not engaged,not engaged
243,surprise,0.72,3.48,0.59,3.1026,engaged,engaged
244,angry,0.69,2.53,0.48,2.2308,not engaged,not engaged
245,neutral,0.69,4.12,0.73,3.5660,engaged,engaged
246,disgust,0.67,2.72,0.56,2.3788,not engaged,not engaged
247,disgust,0.80,2.72,0.51,2.6856,not engaged,not engaged
248,sad,0.66,0.8,0.73,1.2620,not engaged,engaged
249,angry,0.62,2.53,0.68,2.2517,not engaged,not engaged
250,sad,0.63,0.8,0.70,1.2016,not engaged,not engaged
251,happy,0.59,4.3,0.62,3.1653,engaged,engaged
252,fear,0.64,3.05,0.61,2.5599,not engaged,not engaged
253,disgust,0.66,2.72,0.61,2.3979,not engaged,not engaged
254,disgust,0.75,2.72,0.66,2.7061,not engaged,engaged
255,angry,0.64,2.53,0.46,2.0884,not engaged,not engaged
256,sad,0.66,0.8,0.74,1.2700,not engaged,not engaged
257,neutral,0.76,4.12,0.50,3.6454,engaged,engaged
258,disgust,0.79,2.72,0.52,2.6746,not engaged,not engaged
259,happy,0.65,4.3,0.55,3.3518,engaged,engaged
260,surprise,0.72,3.48,0.56,3.0596,engaged,engaged
261,disgust,0.77,2.72,0.57,2.6529,not engaged,not engaged
262,disgust,0.68,2.72,0.70,2.5472,not engaged,engaged
263,sad,0.74,0.8,0.67,1.2566,not engaged,not engaged
264,neutral,0.70,4.12,0.63,3.5221,engaged,engaged
265,neutral,0.76,4.12,0.58,3.7299,engaged,engaged
266,angry,0.80,2.53,0.53,2.5500,not engaged,not engaged
267,surprise,0.71,3.48,0.62,3.0994,engaged,engaged
268,sad,0.69,0.8,0.74,1.2963,not engaged,not engaged
269,disgust,0.66,2.72,0.59,2.3861,not engaged,engaged
270,angry,0.64,2.53,0.51,2.1320,not engaged,not engaged
271,surprise,0.69,3.48,0.68,3.0918,engaged,engaged
272,fear,0.65,3.05,0.52,2.5119,not engaged,not engaged
273,happy,0.80,4.3,0.53,3.9538,engaged,engaged
274,disgust,0.65,2.72,0.67,2.4391,not engaged,not engaged
275,happy,0.72,4.3,0.55,3.6564,engaged,engaged
276,happy,0.69,4.3,0.45,3.4288,engaged,engaged
277,disgust,0.74,2.72,0.56,2.5612,not engaged,not engaged
278,happy,0.69,4.3,0.69,3.6561,engaged,engaged
279,sad,0.61,0.8,0.58,1.0676,not engaged,not engaged
280,fear,0.79,3.05,0.46,2.8767,not engaged,not engaged
281,neutral,0.69,4.12,0.75,3.5979,engaged,engaged
282,surprise,0.76,3.48,0.51,3.1715,engaged,engaged
283,sad,0.78,0.8,0.64,1.2650,not engaged,not engaged
284,disgust,0.74,2.72,0.69,2.6931,not engaged,not engaged
285,neutral,0.68,4.12,0.62,3.4197,engaged,engaged
286,angry,0.64,2.53,0.67,2.2893,not engaged,not engaged
287,surprise,0.72,3.48,0.49,2.9860,not engaged,not engaged
288,surprise,0.74,3.48,0.58,3.1414,engaged,engaged
289,happy,0.71,4.3,0.46,3.5348,engaged,engaged
290,sad,0.65,0.8,0.51,1.0273,not engaged,not engaged
291,neutral,0.75,4.12,0.48,3.5775,engaged,engaged
292,sad,0.76,0.8,0.65,1.2633,not engaged,not engaged
293,angry,0.76,2.53,0.67,2.5904,not engaged,not engaged
294,fear,0.75,3.05,0.47,2.7612,not engaged,not engaged
295,neutral,0.61,4.12,0.53,3.0518,engaged,engaged
296,disgust,0.79,2.72,0.58,2.7257,not engaged,not engaged
297,angry,0.64,2.53,0.57,2.2027,not engaged,not engaged
298,angry,0.78,2.53,0.75,2.7097,not engaged,engaged
299,disgust,0.79,2.72,0.73,2.8810,not engaged,not engaged
300,sad,0.62,0.8,0.54,1.0310,not engaged,not engaged
301,happy,0.73,4.3,0.73,3.8604,engaged,engaged
302,happy,0.65,4.3,0.55,3.3311,engaged,engaged
303,happy,0.71,4.3,0.61,3.6518,engaged,engaged
304,disgust,0.68,2.72,0.68,2.5309,not engaged,engaged
305,angry,0.73,2.53,0.72,2.5663,not engaged,not engaged
306,surprise,0.71,3.48,0.60,3.0803,engaged,engaged
307,sad,0.71,0.8,0.58,1.1466,not engaged,not engaged
308,surprise,0.71,3.48,0.74,3.2093,engaged,engaged
309,happy,0.74,4.3,0.72,3.8766,engaged,engaged
310,neutral,0.73,4.12,0.67,3.6619,engaged,engaged
311,happy,0.59,4.3,0.59,3.1320,engaged,engaged
312,sad,0.78,0.8,0.55,1.1690,not engaged,not engaged
313,surprise,0.65,3.48,0.51,2.7734,not engaged,not engaged
314,angry,0.63,2.53,0.69,2.2828,not engaged,not engaged
315,happy,0.74,4.3,0.74,3.9095,engaged,engaged
316,disgust,0.74,2.72,0.68,2.6894,not engaged,not engaged
317,happy,0.61,4.3,0.69,3.3030,engaged,engaged
318,happy,0.79,4.3,0.72,4.1320,engaged,engaged
319,fear,0.66,3.05,0.51,2.5286,not engaged,not engaged
320,sad,0.60,0.8,0.56,1.0426,not engaged,not engaged
321,sad,0.72,0.8,0.71,1.2792,not engaged,engaged
322,disgust,0.63,2.72,0.74,2.4604,not engaged,not engaged
323,neutral,0.60,4.12,0.71,3.1771,engaged,engaged
324,sad,0.75,0.8,0.55,1.1485,not engaged,not engaged
325,fear,0.60,3.05,0.62,2.4569,not engaged,not engaged
326,sad,0.67,0.8,0.58,1.1093,not engaged,not engaged
327,surprise,0.67,3.48,0.62,2.9595,not engaged,engaged
328,sad,0.76,0.8,0.67,1.2764,not engaged,not engaged
329,disgust,0.72,2.72,0.70,2.6673,not engaged,not engaged
330,surprise,0.61,3.48,0.50,2.6122,not engaged,not engaged
331,sad,0.61,0.8,0.72,1.2062,not engaged,not engaged
332,happy,0.73,4.3,0.54,3.6704,engaged,engaged
333,fear,0.79,3.05,0.52,2.9425,not engaged,not engaged
334,sad,0.79,0.8,0.57,1.2026,not engaged,not engaged
335,neutral,0.73,4.12,0.72,3.7499,engaged,engaged
336,angry,0.73,2.53,0.68,2.5349,not engaged,not engaged
337,sad,0.64,0.8,0.73,1.2419,not engaged,not engaged
338,angry,0.76,2.53,0.51,2.4364,not engaged,not engaged
339,happy,0.77,4.3,0.63,3.9618,engaged,engaged
340,fear,0.71,3.05,0.60,2.7677,not engaged,not engaged
341,sad,0.67,0.8,0.64,1.1686,not engaged,not engaged
342,angry,0.60,2.53,0.71,2.2290,not engaged,not engaged
343,surprise,0.78,3.48,0.67,3.3774,engaged,engaged
344,neutral,0.76,4.12,0.63,3.7699,engaged,engaged
345,neutral,0.72,4.12,0.66,3.6137,engaged,engaged
346,angry,0.61,2.53,0.70,2.2536,not engaged,not engaged
347,sad,0.76,0.8,0.52,1.1296,not engaged,not engaged
348,happy,0.72,4.3,0.59,3.7036,engaged,engaged
349,surprise,0.66,3.48,0.50,2.7960,not engaged,not engaged
350,neutral,0.74,4.12,0.48,3.5424,engaged,engaged
351,neutral,0.64,4.12,0.67,3.3005,engaged,engaged
352,disgust,0.65,2.72,0.52,2.2992,not engaged,not engaged
353,sad,0.73,0.8,0.58,1.1662,not engaged,not engaged
354,fear,0.59,3.05,0.46,2.2637,not engaged,not engaged
355,sad,0.69,0.8,0.68,1.2375,not engaged,not engaged
356,angry,0.72,2.53,0.73,2.5547,not engaged,engaged
357,surprise,0.73,3.48,0.48,3.0259,engaged,engaged
358,neutral,0.72,4.12,0.61,3.5706,engaged,engaged
359,surprise,0.79,3.48,0.51,3.2486,engaged,engaged
360,surprise,0.72,3.48,0.47,2.9826,not engaged,not engaged
361,surprise,0.63,3.48,0.67,2.8678,not engaged,engaged
362,disgust,0.78,2.72,0.54,2.6687,not engaged,not engaged
363,happy,0.73,4.3,0.58,3.7413,engaged,engaged
364,neutral,0.67,4.12,0.71,3.4823,engaged,engaged
365,sad,0.69,0.8,0.54,1.0946,not engaged,not engaged
366,angry,0.64,2.53,0.56,2.1887,not engaged,not engaged
367,angry,0.62,2.53,0.72,2.2950,not engaged,not engaged
368,surprise,0.79,3.48,0.55,3.3011,engaged,engaged
369,disgust,0.71,2.72,0.50,2.4381,not engaged,not engaged
370,fear,0.76,3.05,0.59,2.9068,not engaged,engaged
371,surprise,0.66,3.48,0.56,2.8729,not engaged,not engaged
372,surprise,0.73,3.48,0.63,3.1586,engaged,engaged
373,happy,0.79,4.3,0.74,4.1535,engaged,engaged
374,disgust,0.64,2.72,0.63,2.3629,not engaged,not engaged
375,sad,0.62,0.8,0.69,1.1893,not engaged,not engaged
376,surprise,0.68,3.48,0.61,2.9610,not engaged,not engaged
377,happy,0.75,4.3,0.58,3.8259,engaged,engaged
378,neutral,0.66,4.12,0.59,3.3091,engaged,engaged
379,angry,0.66,2.53,0.51,2.1734,not engaged,not engaged
380,sad,0.75,0.8,0.57,1.1764,not engaged,not engaged
381,angry,0.67,2.53,0.73,2.4265,not engaged,not engaged
382,surprise,0.75,3.48,0.47,3.0914,engaged,engaged
383,surprise,0.63,3.48,0.53,2.7158,not engaged,not engaged
384,disgust,0.72,2.72,0.72,2.6670,not engaged,not engaged
385,angry,0.70,2.53,0.60,2.3719,not engaged,engaged
386,angry,0.64,2.53,0.65,2.2771,not engaged,not engaged
387,angry,0.60,2.53,0.72,2.2444,not engaged,not engaged
388,angry,0.75,2.53,0.45,2.3575,not engaged,not engaged
389,surprise,0.74,3.48,0.48,3.0592,engaged,engaged
390,sad,0.60,0.8,0.66,1.1376,not engaged,not engaged
391,sad,0.75,0.8,0.46,1.0640,not engaged,not engaged
392,neutral,0.67,4.12,0.66,3.4246,engaged,engaged
393,surprise,0.79,3.48,0.56,3.3063,engaged,engaged
394,happy,0.77,4.3,0.71,4.0095,engaged,engaged
395,fear,0.67,3.05,0.65,2.7056,not engaged,not engaged
396,surprise,0.79,3.48,0.55,3.2832,engaged,engaged
397,disgust,0.77,2.72,0.49,2.5832,not engaged,not engaged
398,happy,0.79,4.3,0.54,3.9384,engaged,engaged
399,fear,0.79,3.05,0.67,3.0666,engaged,engaged
400,surprise,0.73,3.48,0.65,3.1918,engaged,engaged
401,angry,0.74,2.53,0.51,2.3824,not engaged,not engaged
402,surprise,0.75,3.48,0.61,3.2114,engaged,engaged
403,sad,0.66,0.8,0.66,1.1873,not engaged,not engaged
404,neutral,0.65,4.12,0.46,3.1482,engaged,engaged
405,neutral,0.60,4.12,0.70,3.1584,engaged,engaged
406,happy,0.61,4.3,0.64,3.2640,engaged,engaged
407,angry,0.67,2.53,0.55,2.2446,not engaged,not engaged
408,neutral,0.64,4.12,0.54,3.1636,engaged,engaged
409,surprise,0.60,3.48,0.55,2.6510,not engaged,not engaged
410,sad,0.67,0.8,0.59,1.1221,not engaged,not engaged
411,fear,0.60,3.05,0.46,2.2934,not engaged,engaged
412,surprise,0.68,3.48,0.69,3.0466,engaged,engaged
413,fear,0.77,3.05,0.46,2.8077,not engaged,not engaged
414,surprise,0.59,3.48,0.45,2.5122,not engaged,not engaged
415,angry,0.59,2.53,0.72,2.2264,not engaged,not engaged
416,neutral,0.71,4.12,0.54,3.4536,engaged,engaged
417,sad,0.78,0.8,0.61,1.2396,not engaged,not engaged
418,disgust,0.64,2.72,0.55,2.3076,not engaged,engaged
419,sad,0.66,0.8,0.51,1.0403,not engaged,not engaged
420,happy,0.71,4.3,0.47,3.5087,engaged,engaged
421,disgust,0.63,2.72,0.47,2.1779,not engaged,not engaged
422,sad,0.76,0.8,0.63,1.2393,not engaged,not engaged
423,fear,0.79,3.05,0.45,2.8597,not engaged,not engaged
424,disgust,0.63,2.72,0.53,2.2502,not engaged,not engaged
425,neutral,0.67,4.12,0.46,3.2165,engaged,engaged
426,disgust,0.71,2.72,0.60,2.5367,not engaged,not engaged
427,happy,0.62,4.3,0.65,3.3210,engaged,engaged
428,neutral,0.76,4.12,0.52,3.6522,engaged,engaged
429,surprise,0.59,3.48,0.49,2.5493,not engaged,not engaged
430,neutral,0.62,4.12,0.64,3.1918,engaged,engaged
431,fear,0.71,3.05,0.61,2.7754,not engaged,engaged
432,sad,0.71,0.8,0.66,1.2251,not engaged,not engaged
433,surprise,0.60,3.48,0.56,2.6551,not engaged,not engaged
434,happy,0.64,4.3,0.63,3.4004,engaged,engaged
435,disgust,0.65,2.72,0.48,2.2520,not engaged,not engaged
436,angry,0.72,2.53,0.64,2.4595,not engaged,engaged
437,happy,0.59,4.3,0.53,3.0691,engaged,engaged
438,surprise,0.78,3.48,0.48,3.1752,engaged,engaged
